Cell 01,Cell 02,Cell 03,Cell 04,Cell 05,Cell 06,Cell 07,Cell 08,Cell 09,Cell 10,Cell 11,Cell 12
1.249920,1.019280,1.004400,1.063920,0.930000,1.019280,1.212720,1.212720,1.212720,0.959760,1.049040,1.168080
1.004400,0.930000,0.996960,0.944880,1.168080,1.026720,0.922560,1.019280,0.959760,1.257360,1.004400,0.967200
1.235040,0.967200,1.049040,0.944880,1.249920,1.309440,1.190400,0.989520,1.220160,1.242480,0.982080,1.041600
1.168080,1.011840,1.034160,0.982080,1.242480,1.004400,1.205280,0.937440,1.153200,0.959760,0.944880,0.930000
0.982080,1.309440,1.026720,1.019280,0.952320,1.093680,0.944880,0.885360,1.272240,0.996960,1.249920,1.220160
1.041600,1.249920,0.974640,0.967200,1.004400,1.220160,0.937440,0.989520,0.900240,1.197840,1.138320,0.937440
0.982080,1.049040,0.967200,1.197840,0.922560,0.885360,0.967200,1.197840,0.959760,1.004400,1.004400,0.952320
0.989520,0.937440,0.900240,1.049040,0.982080,1.220160,0.877920,1.257360,,1.041600,1.034160,0.952320
1.004400,0.989520,0.930000,1.272240,1.257360,0.937440,0.989520,0.959760,,1.302000,1.056480,1.235040
1.316880,1.257360,1.212720,0.952320,0.930000,1.264800,0.915120,1.227600,,1.205280,1.019280,1.205280
0.996960,0.982080,0.952320,1.264800,0.982080,0.974640,0.930000,0.922560,,0.967200,1.041600,1.004400
1.004400,0.944880,1.294560,1.197840,0.937440,0.967200,0.974640,0.915120,,1.257360,1.049040,1.034160
1.063920,1.249920,0.989520,,1.056480,1.011840,0.982080,0.915120,,1.287120,0.952320,0.952320
1.249920,0.944880,,,0.959760,1.212720,1.145760,0.937440,,1.034160,,1.205280
1.026720,1.257360,,,0.915120,1.257360,0.915120,1.063920,,1.383840,,0.959760
1.249920,1.182960,,,1.034160,0.982080,,1.049040,,1.004400,,1.101120
0.982080,1.294560,,,0.959760,,,0.959760,,1.257360,,
0.959760,0.989520,,,1.249920,,,1.019280,,1.004400,,
1.235040,1.383840,,,0.959760,,,1.212720,,0.989520,,
1.019280,1.331760,,,1.019280,,,1.011840,,0.959760,,
0.944880,,,,1.227600,,,,,1.346640,,
0.974640,,,,0.959760,,,,,0.937440,,
0.959760,,,,1.026720,,,,,1.145760,,
1.041600,,,,1.197840,,,,,,,
0.989520,,,,0.974640,,,,,,,
1.041600,,,,1.019280,,,,,,,
0.877920,,,,0.952320,,,,,,,
0.967200,,,,0.974640,,,,,,,
,,,,1.264800,,,,,,,
